celda_resumen,fila_resumen,label_resumen,columna_sociedad,bloque,fila_saldos,codigo_cuenta,concepto_saldos,banco_saldos,moneda_saldos,nota
D8,8,Banco Francés,REB,PESOS,146,REB|FRANCES|ARS|CC,1) PESOS,FRANCES,ARS,
B9,9,Banco Provincia,BIY,PESOS,22,BIY|BAPRO|ARS|CC,1) PESOS,BAPRO,ARS,
B9,9,Banco Provincia,BIY,PESOS,23,BIY|BAPRO|ARS|TRANSITO,Depósitos en Tránsito,BAPRO,ARS,
C9,9,Banco Provincia,KAN,PESOS,87,KAN|BAPRO|ARS|CC,1) PESOS,BAPRO,ARS,
C9,9,Banco Provincia,KAN,PESOS,88,KAN|BAPRO|ARS|TRANSITO,Depósitos en Tránsito,BAPRO,ARS,
D9,9,Banco Provincia,REB,PESOS,151,REB|BAPRO|ARS|CC,1) PESOS,BAPRO,ARS,
D9,9,Banco Provincia,REB,PESOS,152,REB|BAPRO|ARS|TRANSITO,Depósitos en Tránsito,BAPRO,ARS,
B10,10,BNA,BIY,PESOS,32,BIY|BNA|ARS|CC,1) PESOS (CC),BNA,ARS,
B10,10,BNA,BIY,PESOS,33,BIY|BNA|ARS|TRANSITO,Depósitos en Tránsito,BNA,ARS,
C10,10,BNA,KAN,PESOS,97,KAN|BNA|ARS|CC,1) PESOS (CC),BNA,ARS,
C10,10,BNA,KAN,PESOS,98,KAN|BNA|ARS|TRANSITO,Depósitos en Tránsito,BNA,ARS,
D10,10,BNA,REB,PESOS,161,REB|BNA|ARS|CC,1) PESOS (CC),BNA,ARS,
D10,10,BNA,REB,PESOS,162,REB|BNA|ARS|TRANSITO,Depósitos en Tránsito,BNA,ARS,
B11,11,Bi Bank,BIY,PESOS,38,BIY|BIBANK|ARS|CC,1) PESOS (CC),BIBANK,ARS,
B11,11,Bi Bank,BIY,PESOS,39,BIY|BIBANK|ARS|TRANSITO,Depósitos en Tránsito,BIBANK,ARS,
C11,11,Bi Bank,KAN,PESOS,103,KAN|BIBANK|ARS|CC,1) PESOS (CC),BIBANK,ARS,
C11,11,Bi Bank,KAN,PESOS,104,KAN|BIBANK|ARS|TRANSITO,Depósitos en Tránsito,BIBANK,ARS,
D11,11,Bi Bank,REB,PESOS,167,REB|BIBANK|ARS|CC,1) PESOS (CC),BIBANK,ARS,
D11,11,Bi Bank,REB,PESOS,168,REB|BIBANK|ARS|TRANSITO,Depósitos en Tránsito,BIBANK,ARS,
B12,12,Banco Industrial,BIY,PESOS,44,BIY|BIND|ARS|CC,1) PESOS (CC),BIND,ARS,
B12,12,Banco Industrial,BIY,PESOS,45,BIY|BIND|ARS|TRANSITO,Depósitos en Tránsito,BIND,ARS,
C12,12,Banco Industrial,KAN,PESOS,109,KAN|BIND|ARS|CC,1) PESOS (CC),BIND,ARS,
C12,12,Banco Industrial,KAN,PESOS,110,KAN|BIND|ARS|TRANSITO,Depósitos en Tránsito,BIND,ARS,
D12,12,Banco Industrial,REB,PESOS,173,REB|BIND|ARS|CC,1) PESOS (CC),BIND,ARS,
D12,12,Banco Industrial,REB,PESOS,174,REB|BIND|ARS|TRANSITO,Depósitos en Tránsito,BIND,ARS,
B13,13,Maco,BIY,PESOS,27,BIY|MACO|ARS|CC,1) PESOS,MACO,ARS,
C13,13,Maco,KAN,PESOS,92,KAN|MACO|ARS|CC,1) PESOS,MACO,ARS,
D13,13,Maco,REB,PESOS,156,REB|MACO|ARS|CC,1) PESOS,MACO,ARS,
G14,14,Banco Ciudad,UT,PESOS,197,UT|CIUDAD|ARS|CC,1) PESOS,CIUDAD,ARS,
G14,14,Banco Ciudad,UT,PESOS,202,UT|CIUDAD|ARS|LOTBA,1) PESOS  (LOTBA),CIUDAD,ARS,
B15,15,Mercado Pago,BIY,PESOS,215,BIY|MP|ARS|SALDO,BIYEMAS,MP,ARS,
C15,15,Mercado Pago,KAN,PESOS,216,KAN|MP|ARS|SALDO,KANDIKO,MP,ARS,
D15,15,Mercado Pago,REB,PESOS,217,REB|MP|ARS|SALDO,REBISCO,MP,ARS,
G15,15,Mercado Pago,UT,PESOS,207,UT|MACRO|ARS|TRANSITO,Deposito en transito,MACRO,ARS,
B16,16,Tesorería,BIY,PESOS,50,BIY|TESORERIA|ARS|CC,1) PESOS,TESORERIA,ARS,
C16,16,Tesorería,KAN,PESOS,115,KAN|TESORERIA|ARS|CC,1) PESOS,TESORERIA,ARS,
D16,16,Tesorería,REB,PESOS,179,REB|TESORERIA|ARS|CC,1) PESOS,TESORERIA,ARS,
B20,20,Banco Macro,BIY,USD,6,BIY|MACRO|USD|CC,2) DOLARES (CC),MACRO,USD,
C20,20,Banco Macro,KAN,USD,70,KAN|MACRO|USD|CC,2) DOLARES (CC),MACRO,USD,
D20,20,Banco Macro,REB,USD,134,REB|MACRO|USD|CC,2) DOLARES (CC),MACRO,USD,
B21,21,Banco ITAU,BIY,USD,13,BIY|ITAU|USD|CC,2) DOLARES (CC),ITAU,USD,
C21,21,Banco ITAU,KAN,USD,78,KAN|ITAU|USD|CC,2) DOLARES (CC),ITAU,USD,
D21,21,Banco ITAU,REB,USD,142,REB|ITAU|USD|CC,2) DOLARES (CC),ITAU,USD,
B22,22,Banco Francés,BIY,USD,18,BIY|FRANCES|USD|CC,2) DOLARES,FRANCES,USD,
C22,22,Banco Francés,KAN,USD,83,KAN|FRANCES|USD|CC,2) DOLARES,FRANCES,USD,
D22,22,Banco Francés,REB,USD,147,REB|FRANCES|USD|CC,2) DOLARES,FRANCES,USD,
B23,23,Banco Provincia,BIY,USD,24,BIY|BAPRO|USD|CC,2) DOLARES (CC),BAPRO,USD,
C23,23,Banco Provincia,KAN,USD,84,KAN|FRANCES|EUR|CC,3) EUROS,FRANCES,EUR,BUG: Kandiko Provincia USD apunta a fila 84 (Frances EUR). Esperado ~89 Provincia USD.
D23,23,Banco Provincia,REB,USD,135,REB|MACRO|USD|TRANSITO,Depósitos en Tránsito,MACRO,USD,BUG: Rebisco Provincia USD apunta a fila 135 (Macro tránsito USD). Esperado ~153 Provincia USD.
B24,24,BNA,BIY,USD,34,BIY|BNA|USD|CC,2) DOLARES (CC),BNA,USD,
C24,24,BNA,KAN,USD,99,KAN|BNA|USD|CC,2) DOLARES (CC),BNA,USD,
D24,24,BNA,REB,USD,163,REB|BNA|USD|CC,2) DOLARES (CC),BNA,USD,
B25,25,Bi Bank,BIY,USD,40,BIY|BIBANK|USD|CC,2) DOLARES (CC),BIBANK,USD,
C25,25,Bi Bank,KAN,USD,105,KAN|BIBANK|USD|CC,2) DOLARES (CC),BIBANK,USD,
D25,25,Bi Bank,REB,USD,169,REB|BIBANK|USD|CC,2) DOLARES (CC),BIBANK,USD,
B26,26,Banco Industrial,BIY,USD,46,BIY|BIND|USD|CC,2) DOLARES (CC),BIND,USD,
C26,26,Banco Industrial,KAN,USD,111,KAN|BIND|USD|CC,2) DOLARES (CC),BIND,USD,
D26,26,Banco Industrial,REB,USD,175,REB|BIND|USD|CC,2) DOLARES (CC),BIND,USD,
B27,27,Maco,BIY,USD,28,BIY|MACO|USD|CC,2) DOLARES,MACO,USD,
C27,27,Maco,KAN,USD,93,KAN|MACO|USD|CC,2) DOLARES,MACO,USD,
D27,27,Maco,REB,USD,157,REB|MACO|USD|CC,2) DOLARES,MACO,USD,
B28,28,Tesorería,BIY,USD,51,BIY|TESORERIA|USD|CC,2) DOLARES,TESORERIA,USD,
C28,28,Tesorería,KAN,USD,116,KAN|TESORERIA|USD|CC,2) DOLARES,TESORERIA,USD,
D28,28,Tesorería,REB,USD,180,REB|TESORERIA|USD|CC,2) DOLARES,TESORERIA,USD,
B66,66,FCI Pionero Pesos,BIY,INVERSIONES,55,BIY|INVERSIONES|ARS|FCI_GOAL_RENTA_GLOBAL,FCI Goal renta global,INVERSIONES,ARS,
C66,66,FCI Pionero Pesos,KAN,INVERSIONES,120,KAN|INVERSIONES|ARS|FCI_PIONERO_PESOS,FCI Pionero Pesos,INVERSIONES,ARS,
D66,66,FCI Pionero Pesos,REB,INVERSIONES,184,REB|INVERSIONES|ARS|FCI_PIONERO_PESOS,FCI Pionero Pesos,INVERSIONES,ARS,
B67,67,FCI Pionero Renta Ahorro,BIY,INVERSIONES,56,BIY|INVERSIONES|ARS|FCI_PIONERO_RENTA_AHORRO,FCI Pionero Renta Ahorro,INVERSIONES,ARS,
C67,67,FCI Pionero Renta Ahorro,KAN,INVERSIONES,121,KAN|INVERSIONES|ARS|FCI_PIONERO_RENTA_AHORRO,FCI Pionero Renta Ahorro,INVERSIONES,ARS,
D67,67,FCI Pionero Renta Ahorro,REB,INVERSIONES,185,REB|INVERSIONES|ARS|FCI_PIONERO_RENTA_AHORRO,FCI Pionero Renta Ahorro,INVERSIONES,ARS,
B68,68,FCI Pellegrini Renta Pesos,BIY,INVERSIONES,57,BIY|INVERSIONES|ARS|FCI_RENTA_CRECIMIENTO,FCI renta crecimiento,INVERSIONES,ARS,
C68,68,FCI Pellegrini Renta Pesos,KAN,INVERSIONES,122,KAN|INVERSIONES|ARS|FCI_PELLEGRINI_RENTA_PESOS,FCI Pellegrini Renta Pesos,INVERSIONES,ARS,
D68,68,FCI Pellegrini Renta Pesos,REB,INVERSIONES,186,REB|INVERSIONES|ARS|FCI_PELLEGRINI_RENTA_PESOS,FCI Pellegrini Renta Pesos,INVERSIONES,ARS,
B69,69,FCI Goal Renta Pesos,BIY,INVERSIONES,58,BIY|INVERSIONES|ARS|FCI_GOAL_PESOS,FCI Goal Pesos,INVERSIONES,ARS,
C69,69,FCI Goal Renta Pesos,KAN,INVERSIONES,123,KAN|INVERSIONES|ARS|FCI_GOAL_PESOS,FCI Goal Pesos,INVERSIONES,ARS,
D69,69,FCI Goal Renta Pesos,REB,INVERSIONES,187,REB|INVERSIONES|ARS|FCI_GOAL_PESOS,FCI Goal Pesos,INVERSIONES,ARS,
G69,69,FCI Goal Renta Pesos,UT,INVERSIONES,211,UT|INVERSIONES|ARS|FCI_GOAL_PESOS,FCI Goal Pesos,INVERSIONES,ARS,
B70,70,FCI acciones argentinas,BIY,INVERSIONES,59,BIY|INVERSIONES|ARS|FCI_ACCIONES_ARGENTINAS,FCI acciones argentinas,INVERSIONES,ARS,
C70,70,FCI acciones argentinas,KAN,INVERSIONES,124,KAN|INVERSIONES|ARS|FCI_GOAL_CAPITAL_PLUS,FCI Goal Capital Plus,INVERSIONES,ARS,
D70,70,FCI acciones argentinas,REB,INVERSIONES,188,REB|INVERSIONES|ARS|FCI_GOAL_CAPITAL_PLUS,FCI Goal Capital Plus,INVERSIONES,ARS,
B71,71,IAM Ahorro Pesos,BIY,INVERSIONES,60,BIY|INVERSIONES|ARS|IAM_AHORRO_PESOS,IAM Ahorro Pesos,INVERSIONES,ARS,
C71,71,IAM Ahorro Pesos,KAN,INVERSIONES,125,KAN|INVERSIONES|ARS|IAM_AHORRO_PESOS,IAM Ahorro Pesos,INVERSIONES,ARS,
D71,71,IAM Ahorro Pesos,REB,INVERSIONES,189,REB|INVERSIONES|ARS|IAM_AHORRO_PESOS,IAM Ahorro Pesos,INVERSIONES,ARS,
B72,72,Plazo fijo,BIY,INVERSIONES,61,BIY|INVERSIONES|ARS|PLAZO_FIJO,Plazo Fijo,INVERSIONES,ARS,
C72,72,Plazo fijo,KAN,INVERSIONES,126,KAN|INVERSIONES|ARS|PLAZO_FIJO,Plazo Fijo,INVERSIONES,ARS,
D72,72,Plazo fijo,REB,INVERSIONES,190,REB|INVERSIONES|ARS|PLAZO_FIJO,Plazo Fijo,INVERSIONES,ARS,
B73,73,Otros,BIY,INVERSIONES,62,BIY|INVERSIONES|ARS|OTROS,Otros,INVERSIONES,ARS,
C73,73,Otros,KAN,INVERSIONES,127,KAN|INVERSIONES|ARS|FCI_GOAL_PESOS,FCI Goal Pesos,INVERSIONES,ARS,
D73,73,Otros,REB,INVERSIONES,191,REB|INVERSIONES|ARS|OTROS,Otros,INVERSIONES,ARS,
